Date,M2MS,FedFundsRate,CPI
1983-08-01,2074.0,9.5583870967741900,2.553400975
1983-09-01,2083.2,9.4480000000000000,2.944004571
1983-10-01,2099.2,9.4761290322580600,3.09331236
1983-11-01,2112.3,9.3400000000000000,3.751793567
1983-12-01,2123.5,9.4712903225806500,4.465480085
1984-01-01,2138.2,9.5583870967741900,4.485762548
1984-02-01,2158.2,9.5875862068965500,4.524563869
1984-03-01,2175.2,9.9132258064516100,4.65415841
1984-04-01,2191.7,10.2910000000000000,4.646319003
1984-05-01,2204.1,10.3193548387097000,4.708074066
1984-06-01,2215.1,11.0616666666667000,4.787485493
1984-07-01,2223.5,11.2341935483871000,4.897092721
1984-08-01,2230.4,11.6370967741935000,5.032939607
1984-09-01,2244.4,11.3026666666667000,5.140612141
1984-10-01,2258.9,9.9854838709677400,5.103857709
1984-11-01,2281.4,9.4256666666666700,4.968986894
1984-12-01,2306.4,8.3816129032258100,5.052939222
1985-01-01,2332.4,8.3490322580645200,4.726710471
1985-02-01,2354.1,8.5014285714285700,4.871701461
1985-03-01,2366.2,8.5774193548387100,4.962072036
1985-04-01,2375.4,8.2673333333333300,4.754134291
1985-05-01,2389.5,7.9709677419354800,5.037120921
1985-06-01,2412.6,7.5333333333333300,5.05654234
1985-07-01,2429.5,7.8838709677419400,4.948295318
1985-08-01,2444.0,7.8983870967741900,4.94547442
1985-09-01,2456.4,7.9213333333333300,4.7871651
1985-10-01,2468.0,7.9864516129032300,4.891950804
1985-11-01,2477.8,8.0506666666666700,5.149995169
1985-12-01,2492.1,8.2745161290322600,5.030732007
1986-01-01,2502.1,8.1448387096774200,5.296961132
1986-02-01,2512.9,7.8600000000000000,5.124947576
1986-03-01,2533.1,7.4790322580645200,5.229854261
1986-04-01,2557.8,6.9880000000000000,5.370857251
1986-05-01,2584.8,6.8529032258064500,5.040741681
1986-06-01,2605.0,6.9166666666666700,5.042080888
1986-07-01,2626.6,6.5570967741935500,4.975291061
1986-08-01,2646.5,6.1706451612903200,4.838260997
1986-09-01,2667.8,5.8903333333333300,4.962973389
1986-10-01,2687.4,5.8458064516129000,4.897657302
1986-11-01,2701.3,6.0393333333333300,4.591247998
1986-12-01,2728.0,6.9077419354838700,4.64519092
1987-01-01,2743.9,6.4264516129032300,4.481798225
1987-02-01,2747.5,6.1010714285714300,4.44093159
1987-03-01,2753.7,6.1283870967741900,4.263792189
1987-04-01,2767.7,6.3653333333333300,4.358079784
1987-05-01,2772.9,6.8529032258064500,4.416917659
1987-06-01,2774.6,6.7250000000000000,4.175391862
1987-07-01,2779.0,6.5822580645161300,4.166490008
1987-08-01,2788.2,6.7322580645161300,4.280898407
1987-09-01,2799.5,7.2163333333333300,4.291035748
1987-10-01,2814.8,7.2887096774193500,4.343067431
1987-11-01,2818.9,6.6933333333333300,4.314664296
1987-12-01,2826.4,6.7696774193548400,4.302583149
1988-01-01,2847.4,6.8338709677419400,4.383640423
1988-02-01,2870.4,6.5827586206896600,4.386553409
1988-03-01,2890.7,6.5758064516129000,4.451939222
1988-04-01,2910.7,6.8716666666666700,4.388452903
1988-05-01,2926.0,7.0864516129032300,4.445286952
1988-06-01,2938.4,7.5090000000000000,4.685384324
1988-07-01,2947.2,7.7548387096774200,4.712055892
1988-08-01,2952.0,8.0090322580645200,4.685749317
1988-09-01,2956.9,8.1933333333333300,4.73102913
1988-10-01,2965.3,8.2961290322580600,4.616281806
1988-11-01,2980.2,8.3450000000000000,4.751873732
1988-12-01,2988.2,8.7603225806451600,4.798725378
1989-01-01,2991.7,9.1212903225806500,4.756783262
1989-02-01,2992.2,9.3610714285714300,4.792426849
1989-03-01,2999.7,9.8487096774193500,4.760352769
1989-04-01,3006.0,9.8353333333333300,4.627130987
1989-05-01,3011.6,9.8090322580645200,4.751380664
1989-06-01,3027.9,9.5300000000000000,4.753801306
1989-07-01,3052.4,9.2354838709677400,4.905247602
1989-08-01,3074.4,8.9922580645161300,4.865522153
1989-09-01,3092.5,9.0210000000000000,4.684441734
1989-10-01,3114.1,8.8406451612903200,4.81739966
1989-11-01,3133.3,8.5480000000000000,4.811218772
1989-12-01,3152.5,8.4525806451612900,4.842735403
1990-01-01,3166.8,8.2290322580645200,4.92058886
1990-02-01,3179.2,8.2371428571428600,4.935526464
1990-03-01,3190.1,8.2767741935483900,5.208700881
1990-04-01,3201.6,8.2550000000000000,5.294133558
1990-05-01,3200.6,8.1764516129032300,5.183754067
1990-06-01,3213.7,8.2886666666666700,5.388456883
1990-07-01,3224.5,8.1525806451612900,5.535071884
1990-08-01,3242.0,8.1341935483871000,5.855903558
1990-09-01,3254.6,8.1950000000000000,5.948660349
1990-10-01,3259.3,8.1125806451612900,5.817450968
1990-11-01,3262.6,7.8066666666666700,5.70341926
1990-12-01,3271.8,7.3129032258064500,5.672549361
1991-01-01,3287.7,6.9064516129032300,5.839029006
1991-02-01,3304.5,6.2525000000000000,5.883436919
1991-03-01,3321.9,6.1151612903225800,5.496431415
1991-04-01,3332.4,5.9123333333333300,5.302381155
1991-05-01,3343.0,5.7829032258064500,5.248477287
1991-06-01,3351.9,5.8996666666666700,4.959978472
1991-07-01,3356.1,5.8209677419354800,4.735708693
