,United States,"New York, NY","Los Angeles-Long Beach-Anaheim, CA","Chicago, IL","Dallas-Fort Worth, TX","Philadelphia, PA","Houston, TX","Washington, DC","Miami-Fort Lauderdale, FL","Atlanta, GA"
2013-12-01,165200.0,357300.0,491200.0,179100.0,149500.0,196800.0,139100.0,348600.0,174400.0,137200.0
2014-03-01,167000.0,359900.0,500400.0,181200.0,151000.0,197700.0,143700.0,351800.0,179100.0,139600.0
2014-06-01,168800.0,362800.0,508100.0,182900.0,153300.0,199000.0,145700.0,356100.0,185000.0,142800.0
2014-09-01,170600.0,364600.0,517000.0,186200.0,156300.0,200400.0,148600.0,357200.0,192300.0,145400.0
2014-12-01,172400.0,364900.0,522900.0,187100.0,159200.0,200400.0,151300.0,358900.0,199700.0,147600.0
2015-03-01,174100.0,368000.0,531300.0,188500.0,162100.0,200600.0,156100.0,360800.0,205800.0,150900.0
2015-06-01,176600.0,370900.0,539500.0,191300.0,168300.0,202900.0,158600.0,364300.0,213700.0,154200.0
2015-09-01,179500.0,374800.0,549200.0,193000.0,175200.0,204800.0,162400.0,365800.0,221300.0,158000.0
2015-12-01,181600.0,379300.0,557600.0,194400.0,180800.0,205400.0,165000.0,367700.0,226600.0,161300.0
2016-03-01,183800.0,382100.0,566500.0,195800.0,185300.0,206800.0,169100.0,368600.0,229600.0,164000.0
2016-06-01,186600.0,386600.0,574800.0,198400.0,190900.0,208600.0,171700.0,371200.0,235300.0,166400.0
2016-09-01,190300.0,396500.0,581400.0,201500.0,197500.0,212300.0,175200.0,374300.0,242100.0,169900.0
2016-12-01,194200.0,403400.0,594500.0,205200.0,201600.0,215300.0,175900.0,380200.0,246800.0,173800.0
2017-03-01,197200.0,412600.0,602300.0,209300.0,206000.0,216600.0,174400.0,383700.0,249700.0,176700.0
2017-06-01,200400.0,422300.0,609800.0,211200.0,211000.0,218700.0,178400.0,382600.0,253100.0,179900.0
